Group,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD
Caulobacter_vibrioides,1.76E-06,1.93E-06,2.41E-06,1.07E-05,1.84E-05,1.56E-05,1.18E-05,3.49E-06,1.43E-05,1.81E-05,6.27E-06,1.27E-05,2.46E-05,9.74E-06,6.87E-06,8.71E-06,2.13E-06,5.71E-06,5.38E-06,6.00E-05,1.44E-05,1.98E-05,1.33E-05,3.94E-05,2.02E-05,5.37E-06,1.74E-06,2.16E-06,4.21E-05,3.32E-05,2.64E-05,1.92E-05,2.34E-05,8.13E-06,1.01E-05,3.16E-05,2.90E-05,3.14E-06
Chloracidobacterium_thermophilum,1.06E-06,2.66E-06,3.90E-06,1.08E-05,2.02E-05,1.33E-05,2.93E-06,6.36E-06,1.22E-05,1.74E-05,1.01E-05,9.52E-06,1.97E-05,7.26E-06,6.07E-06,5.93E-06,4.92E-06,5.07E-06,9.13E-06,2.21E-05,8.10E-06,1.89E-05,1.29E-05,3.30E-05,1.40E-05,2.69E-06,3.15E-06,9.92E-06,2.34E-05,1.95E-05,2.32E-05,1.87E-05,1.18E-05,7.06E-06,8.88E-06,2.85E-05,3.27E-05,3.85E-06
Clostridium_sp._SY8519,0.000135985335814134,0.000224539275345561,0.000273704475653016,0.000365235952117699,0.000657531342691568,0.000872975887866378,0.000147138109150891,0.000233340630742873,0.000478649098259733,0.000431638855211893,0.000292243410863036,0.000543361661697162,0.00032256663653657,0.000492578270840092,0.000334844906122861,0.00022417636307903,0.000240469214814681,0.000107611314347714,0.000289934904170695,0.000607667579669733,0.000672989211642016,0.000289560882015023,0.000815253189031747,0.000810833689273901,0.00068795233002687,0.00019811697156196,0.00021843731214482,0.000346524407790467,0.000591217847383154,0.000611404277260044,0.000355964152067322,0.000524017932821221,0.000746853532142061,0.000305008332911422,0.00112776342884844,0.000828647570244489,0.00102091254065495,0.000139970790006114
Cronobacter_condimenti,1.48E-06,5.72E-06,4.00E-06,1.00E-05,1.56E-05,6.68E-06,7.65E-06,2.31E-06,6.73E-06,1.12E-05,4.62E-06,1.20E-05,6.49E-06,8.41E-06,2.69E-06,4.00E-06,2.01E-06,4.23E-06,9.13E-06,3.21E-05,1.39E-05,1.20E-05,8.31E-06,9.56E-06,1.44E-05,3.41E-06,4.80E-06,5.16E-06,2.32E-05,1.33E-05,2.54E-05,1.47E-05,8.63E-06,4.07E-06,7.53E-06,1.84E-05,1.73E-05,2.64E-06
Deinococcus_radiodurans,1.13E-06,7.32E-07,3.39E-06,6.26E-06,1.60E-05,1.03E-05,6.70E-06,2.42E-06,1.20E-05,1.75E-05,5.94E-06,1.12E-05,1.39E-05,1.05E-05,5.53E-06,3.87E-06,2.19E-06,3.52E-06,7.26E-06,2.83E-05,1.09E-05,4.73E-06,8.65E-06,2.21E-05,2.03E-05,5.24E-06,1.37E-06,2.08E-06,1.87E-05,2.82E-05,4.46E-05,6.40E-06,1.76E-05,1.01E-05,1.81E-05,2.19E-05,2.14E-05,3.35E-06
Desulfotomaculum_reducens,3.24E-06,1.43E-05,2.98E-05,1.53E-05,3.11E-05,2.99E-05,8.88E-06,1.40E-05,2.54E-05,2.87E-05,6.44E-06,1.88E-05,1.14E-05,2.27E-05,1.66E-05,8.32E-06,8.30E-06,6.84E-06,1.13E-05,4.92E-05,2.01E-05,2.45E-05,2.36E-05,2.47E-05,2.94E-05,1.04E-05,8.03E-06,3.44E-05,3.29E-05,2.68E-05,3.66E-05,4.10E-05,2.30E-05,1.93E-05,2.51E-05,4.44E-05,5.47E-05,5.99E-06
Exiguobacterium_antarcticum,1.48E-06,9.91E-06,3.53E-06,1.32E-05,1.20E-05,1.43E-05,1.90E-06,8.39E-06,5.73E-06,1.15E-05,6.71E-06,1.20E-05,5.82E-06,1.15E-05,4.08E-06,2.32E-06,3.61E-06,2.13E-06,5.13E-06,1.57E-05,1.11E-05,9.50E-06,1.11E-05,1.20E-05,1.17E-05,4.13E-06,2.58E-06,8.76E-06,1.33E-05,1.91E-05,1.88E-05,1.28E-05,9.72E-06,5.79E-06,1.45E-05,2.19E-05,2.26E-05,2.71E-06
Hyphomonas_neptunium,1.34E-06,1.46E-06,2.71E-06,5.24E-06,1.23E-05,9.06E-06,9.16E-06,6.31E-06,8.47E-06,6.45E-06,6.99E-06,6.46E-06,1.62E-05,7.64E-06,3.65E-06,3.48E-06,1.13E-06,3.37E-06,8.51E-06,2.54E-05,7.44E-06,5.22E-06,1.24E-05,1.47E-05,1.19E-05,2.95E-06,1.21E-06,2.68E-06,2.14E-05,2.64E-05,1.67E-05,1.25E-05,9.09E-06,5.83E-06,6.27E-06,1.36E-05,2.01E-05,4.35E-06
Jeotgalicoccus_saudimassiliensis,4.29E-06,4.99E-06,6.41E-06,9.78E-06,1.41E-05,2.21E-05,6.27E-06,7.21E-06,1.23E-05,1.11E-05,1.10E-05,1.74E-05,6.94E-06,1.17E-05,8.22E-06,6.06E-06,2.49E-06,6.73E-06,7.26E-06,1.62E-05,1.11E-05,1.17E-05,2.16E-05,1.54E-05,2.27E-05,8.19E-06,6.34E-06,5.64E-06,1.92E-05,1.94E-05,2.41E-05,1.04E-05,1.74E-05,1.13E-05,2.04E-05,3.93E-05,2.48E-05,4.06E-06
Lactobacillus_vaginalis,2.53E-06,1.46E-06,2.92E-06,9.38E-06,9.15E-06,1.34E-05,5.82E-06,2.03E-06,1.07E-05,8.37E-06,5.67E-06,7.66E-06,3.92E-06,4.39E-06,4.35E-06,4.45E-06,4.74E-06,1.10E-06,4.00E-06,1.54E-05,6.69E-06,6.24E-06,2.75E-06,1.14E-05,1.69E-05,7.08E-06,1.82E-06,9.60E-06,1.32E-05,2.54E-05,2.10E-05,1.17E-05,9.43E-06,9.36E-06,8.88E-06,1.96E-05,1.65E-05,1.85E-06
