Group,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD
Rhizobium_flavum,4.92E-07,1.06E-06,1.25E-06,4.41E-06,7.79E-06,6.43E-06,5.89E-06,2.20E-06,4.98E-06,2.36E-06,7.32E-06,4.16E-06,7.83E-06,5.16E-06,1.56E-06,3.74E-06,7.11E-07,1.71E-06,2.25E-06,1.67E-05,6.03E-06,6.02E-06,6.91E-06,1.01E-05,1.21E-05,7.14E-06,2.91E-06,1.52E-06,1.36E-05,1.24E-05,8.81E-06,4.53E-06,8.35E-06,2.96E-06,4.40E-06,9.62E-06,5.58E-06,1.43E-06
Rhodococcus_pyridinivorans,3.52E-07,2.00E-06,2.71E-07,3.92E-06,4.92E-06,3.50E-06,3.42E-06,7.89E-07,1.25E-06,3.66E-06,2.15E-06,3.94E-06,2.57E-06,3.25E-06,5.91E-07,8.06E-06,1.01E-06,1.13E-06,3.75E-06,1.09E-05,1.32E-06,3.17E-06,2.46E-06,1.40E-05,5.37E-06,7.21E-07,1.82E-06,1.80E-06,1.09E-05,4.56E-06,7.05E-06,7.20E-06,4.92E-06,9.03E-07,3.06E-06,4.37E-06,8.57E-06,6.13E-06
Rhodovulum_sp._P5,1.41E-06,2.53E-06,3.09E-06,7.71E-06,8.88E-06,7.37E-06,8.63E-06,8.39E-06,9.84E-06,1.24E-05,1.13E-05,1.01E-05,5.71E-06,8.60E-06,1.93E-06,3.81E-06,5.57E-06,4.08E-06,5.63E-06,2.84E-05,5.84E-06,1.64E-05,1.33E-05,2.04E-05,1.11E-05,4.32E-06,1.82E-06,7.24E-06,2.81E-05,1.71E-05,1.43E-05,9.86E-06,1.45E-05,3.12E-06,4.18E-06,3.13E-05,3.01E-05,1.78E-05
Rhodovulum_sulfidophilum,1.48E-06,5.26E-06,4.07E-06,1.93E-05,2.54E-05,1.79E-05,2.07E-05,9.91E-06,1.41E-05,1.66E-05,4.62E-06,1.97E-05,2.20E-05,1.03E-05,7.89E-06,7.74E-06,9.24E-06,1.08E-05,1.43E-05,5.96E-05,1.47E-05,2.08E-05,4.10E-05,4.68E-05,3.27E-05,6.16E-06,2.58E-06,5.60E-06,5.12E-05,3.97E-05,3.33E-05,2.93E-05,2.92E-05,4.43E-06,1.27E-05,4.72E-05,3.81E-05,2.42E-06
Roseovarius_sp._THAF9,5.63E-07,3.93E-06,9.49E-07,5.15E-06,7.79E-06,1.24E-05,3.59E-06,3.77E-06,6.10E-06,7.63E-06,2.86E-06,9.96E-06,5.37E-06,2.67E-06,4.51E-06,2.32E-06,7.29E-06,2.34E-06,5.13E-06,7.80E-06,6.97E-06,4.99E-06,6.43E-06,1.28E-05,9.26E-06,2.42E-06,2.34E-06,1.20E-06,1.33E-05,2.00E-05,1.09E-05,1.31E-05,1.28E-05,3.20E-06,7.53E-06,1.66E-05,2.62E-05,1.92E-06
Salinispora_tropica,1.41E-06,3.26E-06,2.03E-06,7.45E-06,1.02E-05,1.30E-05,8.95E-06,5.58E-06,7.23E-06,1.19E-05,5.83E-06,1.31E-05,9.63E-06,9.17E-06,3.87E-06,4.64E-06,2.37E-06,4.26E-06,6.38E-06,2.30E-05,7.06E-06,1.16E-05,1.54E-05,3.01E-05,1.75E-05,1.77E-06,3.23E-06,1.39E-05,2.41E-05,1.03E-05,1.80E-05,1.15E-05,1.20E-05,4.43E-06,9.85E-06,4.70E-05,2.29E-05,3.35E-06
Selenomonas_sp._oral_taxon_136,1.20E-06,3.39E-06,5.93E-06,1.52E-05,3.48E-05,1.62E-05,2.43E-05,6.42E-06,1.61E-05,1.76E-05,6.71E-06,1.50E-05,1.54E-05,2.01E-05,6.61E-06,8.38E-06,3.08E-06,1.23E-05,1.30E-05,3.35E-05,2.38E-05,2.08E-05,2.44E-05,4.01E-05,2.37E-05,1.10E-05,3.67E-06,4.28E-06,5.02E-05,1.75E-05,4.21E-05,3.78E-05,2.36E-05,8.75E-06,1.10E-05,4.00E-05,3.41E-05,2.99E-06
Serpentinomonas_raichei,2.53E-06,1.26E-06,3.76E-06,5.77E-06,8.47E-06,8.37E-06,3.95E-06,1.08E-05,8.97E-06,1.11E-05,8.47E-06,1.04E-05,1.40E-05,7.07E-06,6.12E-06,7.22E-06,4.80E-06,8.97E-06,7.01E-06,1.53E-05,6.03E-06,1.31E-05,1.20E-05,1.96E-05,8.38E-06,3.28E-06,1.41E-06,3.16E-06,2.95E-05,1.67E-05,1.81E-05,1.52E-05,8.29E-06,4.48E-06,6.49E-06,2.03E-05,2.13E-05,4.13E-05
Shewanella_donghaensis,7.74E-07,4.86E-06,9.83E-07,7.05E-06,3.96E-06,6.87E-06,3.31E-06,2.20E-06,5.86E-06,5.58E-06,2.20E-06,5.14E-06,5.60E-06,4.01E-06,1.50E-06,3.16E-06,7.11E-07,9.99E-07,2.63E-06,1.26E-05,4.14E-06,8.70E-06,1.57E-05,1.03E-05,1.31E-05,5.50E-06,3.35E-06,5.48E-06,7.79E-06,1.08E-05,1.78E-05,8.53E-06,1.07E-05,2.46E-06,9.70E-06,2.01E-05,1.19E-05,4.70E-06
Streptococcus_ferus,1.41E-06,7.85E-06,3.73E-06,7.05E-06,9.15E-06,1.29E-05,5.07E-06,3.72E-06,1.15E-05,9.67E-06,3.47E-06,1.44E-05,2.10E-05,5.16E-06,1.17E-05,5.87E-06,4.50E-06,2.58E-06,5.51E-06,2.14E-05,8.10E-06,1.56E-05,1.38E-05,1.58E-05,1.60E-05,4.00E-06,3.71E-06,1.18E-05,1.20E-05,1.84E-05,1.41E-05,9.86E-06,1.80E-05,7.56E-06,1.27E-05,2.20E-05,2.12E-05,4.99E-06
Streptomyces_sp._ADI95-16,8.44E-07,1.53E-06,4.88E-06,9.21E-06,1.13E-05,1.63E-05,1.09E-05,2.70E-06,7.72E-06,1.37E-05,8.14E-06,6.35E-06,2.53E-05,9.17E-06,4.30E-06,8.71E-06,2.73E-06,7.26E-06,8.51E-06,4.07E-05,6.97E-06,2.28E-05,1.18E-05,2.58E-05,1.76E-05,6.81E-06,1.90E-06,2.40E-06,4.63E-05,1.83E-05,2.34E-05,1.44E-05,2.21E-05,6.16E-06,1.29E-05,1.99E-05,2.37E-05,3.78E-06
Terriglobus_saanensis,2.25E-06,1.73E-06,3.36E-06,1.22E-05,2.55E-05,7.12E-06,5.60E-06,5.01E-06,1.07E-05,4.34E-06,1.35E-05,1.63E-05,1.11E-05,1.22E-05,5.42E-06,1.35E-05,4.74E-06,7.26E-06,1.04E-05,3.50E-05,1.86E-05,7.72E-06,1.44E-05,3.50E-05,1.40E-05,6.22E-06,2.91E-06,2.44E-06,3.34E-05,2.74E-05,2.57E-05,2.00E-05,1.60E-05,5.38E-06,1.04E-05,3.34E-05,2.32E-05,4.20E-06
Tetragenococcus_koreensis,1.76E-06,8.18E-06,9.43E-06,1.37E-05,1.90E-05,1.22E-05,6.98E-06,6.03E-06,8.97E-06,9.30E-06,1.25E-05,1.67E-05,5.04E-06,7.83E-06,6.93E-06,4.84E-06,3.91E-06,4.52E-06,5.51E-06,9.79E-06,9.42E-06,1.03E-05,2.04E-05,1.49E-05,1.79E-05,7.99E-06,7.35E-06,4.84E-06,1.45E-05,2.56E-05,1.41E-05,2.19E-05,1.14E-05,1.02E-05,1.58E-05,2.03E-05,2.54E-05,1.82E-05
Yersinia_ruckeri,1.27E-06,1.66E-06,3.25E-06,6.48E-06,1.02E-05,8.12E-06,5.29E-06,4.79E-06,3.99E-06,7.13E-06,3.74E-06,1.47E-05,7.16E-06,6.11E-06,3.38E-06,3.87E-06,2.19E-06,3.00E-06,3.75E-06,9.01E-06,1.58E-05,2.72E-06,6.19E-06,5.69E-06,1.24E-05,6.03E-06,5.53E-06,3.84E-06,1.42E-05,7.55E-06,1.02E-05,9.60E-06,1.29E-05,3.53E-06,1.42E-05,1.50E-05,1.08E-05,1.04E-05
